,source,author,title,description,urlToImage,publishedAt,content
0,"{'id': 'engadget', 'name': 'Engadget'}",Karissa Bell,Facebook takes down hundreds of fake Instagram accounts in Russia,"Facebook has taken down
 hundreds of fake Instagram accounts in Russia that were trying to interfere with protests in the country. The company says it found a network of 530 accounts that “targeted domestic audiences throughout the recent protests in support…",https://s.yimg.com/uu/api/res/1.2/2P0WcxYICblFe_GWP0RmrA--~B/aD0yNjY3O3c9NDAwMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2020-11/e166c3e0-2bdc-11eb-979f-c36ac53d0806.cf.jpg,2021-03-03T16:56:41Z,"Facebook has taken down
 hundreds of fake Instagram accounts in Russia that were trying to interfere with protests in the country. The company says it found a network of 530 accounts that targeted d… [+1456 chars]"
1,"{'id': 'engadget', 'name': 'Engadget'}",https://www.engadget.com/about/editors/jessica-conditt,Russia threatens to ban Twitter in the next month,Russian authorities are making demands that Twitter is reluctant to meet.,https://s.yimg.com/os/creatr-uploaded-images/2021-03/3f747490-867e-11eb-bfdd-281c8505c226,2021-03-16T17:39:50Z,"Russian authorities say they will block Twitter across the country in one month unless the social media company complies with demands to remove certain content, according to Reuters. 
The threat fol… [+1676 chars]"
2,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Natasha Lomas,Russia is trying to throttle Twitter,"In its latest strike against online content it doesn’t control Russia is throttling Twitter. State agency Roskomnadzor said today it was taking the action in response to the social media not removing banned content, claiming it had identified more than 3,000 …",https://techcrunch.com/wp-content/uploads/2019/04/twitter-app-icon-ios.jpg?w=711,2021-03-10T13:01:31Z,In its latest strike against online content it doesn’t control Russia is throttling Twitter. State agency Roskomnadzor said today it was taking the action in response to the social media not removing… [+4384 chars]
3,"{'id': 'wired', 'name': 'Wired'}",Andy Greenberg,Foreign Meddling Flooded the 2020 Election—but Not Hackers,"A new ODNI report shows just how extensive Russia and Iran's influence operations were, but also doesn't mention a single hack-and-leak incident.","https://media.wired.com/photos/605105fe33266b5fce336ab2/191:100/w_1280,c_limit/Sec_interference_1230585588.jpg",2021-03-16T22:26:50Z,"After the pro-Trump hack-and-leak operations and disinformation campaigns that roiled the 2016 US election, the country braced for a second round of no-holds-barred foreign interference last year. Bu… [+5162 chars]"
4,"{'id': 'engadget', 'name': 'Engadget'}",Kris Holt,US plans 'a mix of actions' against Russia over SolarWinds cyberattack,"The US is preparing to retaliate against Russia after determining the country was probably involved
 in the SolarWinds cyberattack. Without providing specifics, White House press secretary Jen Psaki confirmed to CNBC that the government will carry out ""a mix…",https://s.yimg.com/uu/api/res/1.2/WCv39iFAiSk.3sqkBr9mJg--~B/aD01Nzc0O3c9ODY2MDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2020-12/3221b6f0-410e-11eb-9fd7-0bdca54435fa.cf.jpg,2021-03-08T16:55:25Z,"The US is preparing to retaliate against Russia after determining the country was probably involved
 in the SolarWinds cyberattack. Without providing specifics, White House press secretary Jen Psaki… [+1266 chars]"
5,"{'id': 'engadget', 'name': 'Engadget'}",Igor Bonifacic,Russia and China want to build an 'international' station on the Moon,"Russia and China plan to work together to build a research station on the Moon. In an announcement
 spotted by ArsTechnica
, the two countries said they will collaborate on an “International Lunar Science Station.” There aren’t many details on the project y…",https://s.yimg.com/uu/api/res/1.2/0WLdbQhWD.NFr1UruUof_g--~B/aD0xNjM2O3c9MjQ0NjthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2021-03/9905ebd0-80ff-11eb-8efe-5dd816f6ac03.cf.jpg,2021-03-09T18:10:21Z,"Russia and China plan to work together to build a research station on the Moon. In an announcement
 spotted by ArsTechnica
, the two countries said they will collaborate on an International Lunar S… [+951 chars]"
6,"{'id': 'wired', 'name': 'Wired'}",Lily Hay Newman,Apple Bent the Rules for Russia. Other Nations Will Take Note,"Russian iPhone buyers will soon be prompted to install software developed in that country, setting a precedent that other authoritarian governments may follow.","https://media.wired.com/photos/6051455ef40c70fa86c7d2d6/191:100/w_1280,c_limit/Sec_iphone_russia-1229232253.jpg",2021-03-17T17:48:18Z,"Beginning in April, new iPhones and other iOS devices sold in Russia will include an extra setup step. Alongside questions about language preference and whether to enable Siri, users will see a scree… [+3991 chars]"
7,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Why many in Russia are reluctant to have Sputnik vaccine,"Russia's Sputnik V vaccine against Covid is in worldwide demand, but many Russians remain unsure.",https://ichef.bbci.co.uk/news/1024/branded_news/9CBD/production/_117352104_gettyimages-1231356783.jpg,2021-03-03T00:24:31Z,"By Sarah RainsfordBBC News, Moscow
image captionLocal official Galina Bordadymova is proud of Russia's scientific breakthrough
When officials in Sputnik village announced recently that they would b… [+6110 chars]"
8,"{'id': None, 'name': 'New York Times'}",David E. Sanger,Biden Clashes With China and Russia in First 60 Days,"It may look like the bad old days of the Cold War, but today’s bitter superpower competition is about technology, cyberconflict and influence operations.",https://static01.nyt.com/images/2021/03/20/us/politics/20dc-assess-1/20dc-assess-1-facebookJumbo.jpg,2021-03-20T09:00:11Z,Its pathway to power is building new networks rather than disrupting old ones. Economists debate when the Chinese will have the worlds largest gross domestic product perhaps toward the end of this de… [+2540 chars]
9,"{'id': None, 'name': 'Gizmodo.com'}",Alyse Stanley,Chinese and Russian Hackers Reportedly Stole Vaccine Data from European Drug Regulator,Both China and Russia were reportedly behind two cyberattacks last year at the European Medicines Agency that compromised documents related to covid-19 vaccines and treatments.Read more...,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/exjoa2a2oedquevzsi4m.jpg",2021-03-07T22:02:00Z,"Both China and Russia were reportedly behind two cyberattacks last year at the European Medicines Agency that compromised documents related to covid-19 vaccines and treatments.
Thats according to so… [+2223 chars]"
10,"{'id': 'bbc-news', 'name': 'BBC News'}",,Plan for reinstatement of Russia approved by World Athletics,Russia moves closer to having its suspension from World Athletics for doping offences lifted after the sport's international governing body approves plans for reform.,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/EA29/production/_113754995_hi062558354.jpg,2021-03-01T19:16:03Z,"Russian athletes took part in the Rio Olympics five years ago
Russia is closer to having its suspension from World Athletics for doping offences lifted after the sport's international governing body… [+1265 chars]"
11,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Russia and China hit back at Western sanctions,"Russia firmly backs China, which is stung by Western sanctions for cracking down on Uighurs.",https://ichef.bbci.co.uk/news/1024/branded_news/17095/production/_117675349_mediaitem117675348.jpg,2021-03-23T12:25:37Z,"image captionThe foreign ministers of Russia and China - Sergei Lavrov (L) and Wang Yi - in Guilin
Russia and China have jointly condemned Western sanctions, a day after the EU, UK, US and Canada bl… [+3092 chars]"
12,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Coronavirus: How Russia glosses over its Covid death toll,The reality behind Russia's pandemic is most likely to be found in its excessive mortality rates.,https://ichef.bbci.co.uk/news/1024/branded_news/CC45/production/_117639225_mediaitem117639224.jpg,2021-03-20T00:25:59Z,"By Sarah RainsfordBBC News, Perm, Russia
image captionThe number of sick and dying in Perm surged last autumn but now medics are better protected
Protecting themselves for a shift on the Covid ward… [+5946 chars]"
13,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Norilsk Nickel: Mining firm pays record $2bn fine over Arctic oil spill,"The spill happened last May and saw some 21,000 tonnes of oil pour into rivers in northern Russia.",https://ichef.bbci.co.uk/news/1024/branded_news/429A/production/_112705071_hi061775136.jpg,2021-03-10T16:32:15Z,"image captionThe spill happened last May and saw some 21,000 tonnes of diesel pour into rivers
A mining firm has paid a record $2bn (£1.4bn) fine over a huge oil spill that caused one of Russia's wo… [+2683 chars]"
14,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Anthony Ha,Daily Crunch: Apple announces a chip design center in Germany,"Apple is making a big investment in Germany, Russia takes aim at Twitter and Roblox goes public. This is your Daily Crunch for March 10, 2021. P.S. Don’t forget to sign up for TC Early Stage 2021, a virtual event focused on operations and fundraising that we’…",https://techcrunch.com/wp-content/uploads/2021/03/apple_germany-silicon-design-center_new-facility-rendering_03102021b.jpg?w=533,2021-03-10T23:25:29Z,"Apple is making a big investment in Germany, Russia takes aim at Twitter and Roblox goes public. This is your Daily Crunch for March 10, 2021.
P.S. Don’t forget to sign up for TC Early Stage 2021, a… [+3295 chars]"
15,"{'id': None, 'name': 'New York Times'}",Julian E. Barnes,The Intelligence on Russia Was Clear. It Was Not Always Presented That Way.,"A newly declassified intelligence report made clear that government agencies long knew of Russia’s work to aid Donald Trump, but he and allies muddied the waters.",https://static01.nyt.com/images/2021/03/17/us/politics/17dc-intel1/17dc-intel1-facebookJumbo.jpg,2021-03-17T23:06:48Z,"Senior Trump administration officials comments about China were also at odds with the report.
John Ratcliffe, Mr. Trumps final director of national intelligence, said publicly before and after the e… [+1920 chars]"
16,"{'id': 'cnn', 'name': 'CNN'}","Zachary Cohen, CNN",US intelligence report says Russia attempted to interfere in 2020 election with goal of 'denigrating' Biden and helping Trump,"The Office of the Director of National Intelligence released its declassified report on foreign threats to 2020 US elections Tuesday, which concludes that foreign adversaries -- including Russia -- did attempt to interfere.",https://cdn.cnn.com/cnnnext/dam/assets/170626163907-russia-dnc-hacking-ron-2-00000808-super-tease.jpg,2021-03-16T18:31:34Z,"Washington (CNN)The Office of the Director of National Intelligence released its declassified report on foreign threats to 2020 US elections Tuesday, which concludes that foreign adversaries -- inclu… [+2297 chars]"
17,"{'id': 'bbc-news', 'name': 'BBC News'}",,Denmark set to allow fans at Euros games,"Denmark is set to allow ""at least 11,000 to 12,000"" fans to attend the European Championship matches in the country, while Russia also expects to allow supporters into games.",https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/FC6C/production/_116702646_gettyimages-1185619682.jpg,2021-03-25T14:37:46Z,"Denmark are set to have fans at their Parken Stadium for group games against Finland, Belgium and Russia
Denmark is set to allow ""at least 11,000 to 12,000"" fans to attend the European Championship … [+2312 chars]"
18,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,White House says Russia will be held accountable for actions it has taken - Reuters Africa,The White House said on Wednesday that Russia will be held accountable after a U.S. intelligence report bolstered longstanding allegations that Russia sought to interfere in the 2020 U.S. presidential election.,https://static.reuters.com/resources/r/?m=02&d=20210317&t=2&i=1555251591&r=LYNXMPEH2G1MI&w=800,2021-03-17T19:32:00Z,"By Reuters Staff
FILE PHOTO: A sign is seen as voters line up for the U.S. Senate run-off election, at a polling location in Marietta, Georgia, U.S., January 5, 2021. REUTERS/Mike Segar
WASHINGTON … [+515 chars]"
19,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Russia recalls its U.S. ambassador for consultations after Biden comment on Putin - Reuters,Russia on Wednesday called its ambassador to the United States back to Moscow for consultations on the future of U.S.-Russia ties after President Joe Biden said Vladimir Putin would 'pay a price' for alleged election meddling.,https://static.reuters.com/resources/r/?m=02&d=20210317&t=2&i=1555241963&r=LYNXMPEH2G1IO&w=800,2021-03-17T18:06:00Z,"By Reuters Staff
FILE PHOTO: Russian President Vladimir Putin attends a meeting with participants of the We Are Together nationwide volunteer campaign at the Kremlin in Moscow, Russia March 4, 2021.… [+768 chars]"
20,"{'id': 'engadget', 'name': 'Engadget'}",https://www.engadget.com/about/editors/kris-holt,Apple will abide by Russian law by offering government-approved apps,"Users will be able to opt out of installing them, according to a Russian newspaper.",https://s.yimg.com/os/creatr-uploaded-images/2021-03/a41245b0-8662-11eb-adff-14946d6c53ad,2021-03-16T14:42:55Z,"Apple has reportedly agreed to show Russian users a prompt to preinstall some apps when they're first using an iPhone or other device. If a user doesnt select one of the government-approved apps, it … [+999 chars]"
21,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,U.S. imposes sanctions on Russia over poisoning of Navalny - Reuters,"The United States imposed sanctions on Tuesday on Russian individuals and entities after concluding that Russia attempted to kill opposition figure Alexei Navalny with a nerve agent, senior Biden administration officials said.",https://static.reuters.com/resources/r/?m=02&d=20210302&t=2&i=1553461068&r=LYNXNPEH210XK&w=800,2021-03-02T14:10:00Z,"By Reuters Staff
FILE PHOTO: Russian opposition politician Alexei Navalny attends a hearing to consider an appeal against an earlier court decision to change his suspended sentence to a real prison … [+544 chars]"
22,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Slovakia buying two million Sputnik vaccines from Russia - Reuters,"Slovakia is buying 2 million Sputnik V vaccines from Russia and expects half to arrive this month and next as it looks to step up vaccinations amid a surge in COVID-19 infections and deaths, the prime minister said on Monday.",https://static.reuters.com/resources/r/?m=02&d=20210301&t=2&i=1553354773&r=LYNXNPEH201W9&w=800,2021-03-01T17:50:00Z,"By Reuters Staff
FILE PHOTO: A medical specialist holds a vial of Sputnik V vaccine against the coronavirus in a department store in Moscow, Russia, January 18, 2021 REUTERS/Shamil Zhumatov
PRAGUE … [+1417 chars]"
23,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Russia reports 10,535 new COVID-19 cases, 452 deaths - Reuters","Russia reported 10,535 new COVID-19 cases on Wednesday, including 1,284 in Moscow, taking the national tally to 4,278,750.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-03T08:13:00Z,"By Reuters Staff
MOSCOW, March 3 (Reuters) - Russia reported 10,535 new COVID-19 cases on Wednesday, including 1,284 in Moscow, taking the national tally to 4,278,750.
Authorities said 452 people h… [+153 chars]"
24,"{'id': 'reuters', 'name': 'Reuters'}","Gabrielle Tétrault-Farber, Vladimir Soldatkin",Russia rebukes Facebook for blocking some media posts - Reuters Canada,Russia accused Facebook on Monday of violating citizens' rights by blocking some media outlets' content in the latest standoff between a government and Big Tech.,https://static.reuters.com/resources/r/?m=02&d=20210308&t=2&i=1554113971&r=LYNXMPEH270I2&w=800,2021-03-08T09:35:00Z,"MOSCOW (Reuters) - Russia accused Facebook on Monday of violating citizens rights by blocking some media outlets content in the latest standoff between a government and Big Tech.
FILE PHOTO: A 3D-pr… [+1568 chars]"
25,"{'id': None, 'name': 'Slashdot.org'}",EditorDavid,America Plans 'Aggressive' Cyber Counterattack on Russia,"The Biden administration ""is preparing a series of aggressive cyber attacks on Russia in a major shift in tactics designed as a warning shot to rival powers,"" reports the Telegraph newspaper:

The attack, which is expected in the next fortnight, is in retalia…",https://a.fsdn.com/sd/topics/usa_64.png,2021-03-21T16:34:00Z,"The attack, which is expected in the next fortnight, is in retaliation for the SolarWinds hack, the large-scale infiltration of American government agencies and corporations discovered late last year… [+911 chars]"
26,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,"Amid vaccine scramble, Latin America turns to Russia - Reuters","As Bolivia struggled late last year to secure deals with large drug firms to supply COVID-19 vaccines, the incoming president, Luis Arce, turned to Russia for help. Colette Luke has more.",https://ajo.prod.reuters.tv/api/v2/img/603d5c0de4b085d3b6c3048d-1614633997173?location=LANDSCAPE,2021-03-01T22:10:53Z,"Posted 
As Bolivia struggled late last year to secure deals with large drug firms to supply COVID-19 vaccines, the incoming president, Luis Arce, turned to Russia for help. Colette Luke has more."
27,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Russia bears responsibility for Navalny poisoning - U.N. experts - Reuters,"Russia bears responsibility under international law for the poisoning of Russian opposition figure Alexei Navalny, U.N. human rights experts said on Monday in preliminary findings.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-01T15:31:00Z,"By Reuters Staff
GENEVA, March 1 (Reuters) - Russia bears responsibility under international law for the poisoning of Russian opposition figure Alexei Navalny, U.N. human rights experts said on Mond… [+205 chars]"
28,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Slovakia buying 2 million Sputnik vaccines from Russia - Reuters,"Slovakia has acquired 2 million Sputnik V vaccines from Russia, with the first 1 million doses expected to be delivered in March and April, Prime Minister Igor Matovic said on Monday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-01T17:00:00Z,"By Reuters Staff
PRAGUE, March 1 (Reuters) - Slovakia has acquired 2 million Sputnik V vaccines from Russia, with the first 1 million doses expected to be delivered in March and April, Prime Ministe… [+302 chars]"
29,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Russia reports 11,022 new COVID-19 cases, 441 deaths - Reuters","Russia on Saturday reported 11,022 new COVID-19 cases, including 1,820 in Moscow, taking the national case tally to 4,312,181 since the pandemic began.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-06T07:40:00Z,"By Reuters Staff
MOSCOW, March 6 (Reuters) - Russia on Saturday reported 11,022 new COVID-19 cases, including 1,820 in Moscow, taking the national case tally to 4,312,181 since the pandemic began.
… [+215 chars]"
30,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Russia, China sign memorandum on lunar research station - Reuters","Russia and China signed a memorandum of understanding on Tuesday to set up an international lunar research station, Russia's Roscosmos space agency said.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-09T14:10:00Z,"By Reuters Staff
MOSCOW (Reuters) - Russia and China signed a memorandum of understanding on Tuesday to set up an international lunar research station, Russias Roscosmos space agency said.
Moscow a… [+1076 chars]"
31,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Russia reports 10,253 new coronavirus cases, 379 deaths - Reuters","Russia on Monday reported 10,253 new coronavirus cases in the previous 24 hours, including 1,421 in Moscow, taking the national case tally to 4,333,029 since the pandemic began.",https://static.reuters.com/resources/r/?m=02&d=20210308&t=2&i=1554102814&r=LYNXMPEH270CN&w=800,2021-03-08T07:44:00Z,"By Reuters Staff
FILE PHOTO: A man walks past a sign outside a vaccination centre in the State Department Store, GUM, amid the outbreak of the coronavirus disease (COVID-19), in central Moscow, Russ… [+349 chars]"
32,"{'id': 'reuters', 'name': 'Reuters'}",,Western countries call on Russia at UN rights body to release Navalny - Reuters UK,Western countries call on Russia at UN rights body to release Navalny  Reuters UK,,2021-03-12T12:03:18Z,"FILE PHOTO: Russian opposition leader Alexei Navalny delivers a speech during a rally to demand the release of jailed protesters, who were detained during opposition demonstrations for fair elections… [+2544 chars]"
